VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-04-17 16:04:08,2019-04-17 16:12:05,N,1,39,39,1,.74,7,1,0.5,0,0,,0.3,8.8,1,1,0
2,2019-04-04 20:12:32,2019-04-04 20:16:08,N,1,42,116,2,.67,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2019-04-18 14:26:32,2019-04-18 14:59:48,N,1,216,218,1,2.65,21.5,0,0.5,0,0,,0.3,22.3,1,1,0
2,2019-04-13 11:17:03,2019-04-13 11:44:57,N,2,42,132,1,18.96,52,0,0.5,11.78,6.12,,0.3,70.7,1,1,0
2,2019-04-27 21:45:49,2019-04-27 22:15:15,N,1,7,95,1,11.45,34.5,0.5,0.5,0,0,,0.3,35.8,2,1,0
2,2019-04-10 08:32:23,2019-04-10 08:43:30,N,1,89,89,1,.96,8.5,0,0.5,0,0,,0.3,9.3,1,1,0
2,2019-04-05 13:20:31,2019-04-05 13:23:53,N,1,42,42,1,.71,5,0,0.5,0,0,,0.3,5.8,2,1,0
2,2019-04-01 22:45:37,2019-04-01 22:49:45,N,1,41,166,1,1.19,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2019-04-08 07:49:39,2019-04-08 08:01:33,N,1,74,75,1,1.34,9,0,0.5,0.98,0,,0.3,12.73,1,1,0
2,2019-04-13 22:46:17,2019-04-13 22:53:41,N,1,41,24,1,1.19,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2019-04-13 00:02:00,2019-04-13 00:06:14,N,1,181,189,1,.72,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2019-04-18 12:06:36,2019-04-18 12:12:24,N,1,75,74,1,1.33,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,2019-04-11 13:58:35,2019-04-11 14:28:34,N,1,74,145,1,4.83,22.5,0,0.5,2.08,0,,0.3,28.13,1,1,2.75
2,2019-04-11 16:41:55,2019-04-11 16:47:36,N,1,82,56,1,1.09,6,1,0.5,0,0,,0.3,7.8,2,1,0
2,2019-04-21 14:20:57,2019-04-21 14:34:58,N,1,41,140,1,3.41,13,0,0.5,1,0,,0.3,17.55,1,1,2.75
2,2019-04-25 05:01:10,2019-04-25 05:06:29,N,1,116,244,1,.96,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2019-04-12 18:08:48,2019-04-12 18:36:48,N,1,244,143,1,5.37,23,1,0.5,2,0,,0.3,29.55,1,1,2.75
2,2019-04-07 03:31:44,2019-04-07 04:05:53,N,1,255,62,1,7.16,27.5,0.5,0.5,0,0,,0.3,28.8,2,1,0
2,2019-04-23 11:57:56,2019-04-23 12:41:14,N,1,75,186,1,5.79,29,0,0.5,6.51,0,,0.3,39.06,1,1,2.75
2,2019-04-03 19:47:26,2019-04-03 20:17:11,N,1,66,36,1,3.96,21,1,0.5,0,0,,0.3,22.8,2,1,0
2,2019-04-04 14:10:35,2019-04-04 15:16:04,N,5,165,24,1,15.67,43.37,0,0.5,0,6.12,,0,49.99,1,2,0
2,2019-04-20 17:40:05,2019-04-20 17:50:09,N,1,244,128,1,3.48,12,0,0.5,0,0,,0.3,12.8,2,1,0
2,2019-04-22 18:09:04,2019-04-22 18:15:45,N,1,65,65,1,.76,6,1,0.5,1,0,,0.3,8.8,1,1,0
1,2019-04-12 00:29:55,2019-04-12 00:35:49,N,1,80,225,2,1.20,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,2019-04-06 08:59:07,2019-04-06 09:09:50,N,1,7,226,1,2.04,9.5,0,0.5,0,0,,0.3,10.3,2,1,0
2,2019-04-14 13:37:15,2019-04-14 13:46:10,N,1,33,25,1,1.35,7.5,0,0.5,2.08,0,,0.3,10.38,1,1,0
2,2019-04-05 21:25:34,2019-04-05 21:34:44,N,1,75,239,1,1.56,8.5,0.5,0.5,3.14,0,,0.3,15.69,1,1,2.75
2,2019-04-05 10:37:26,2019-04-05 10:42:39,N,1,244,116,1,1.03,6,0,0.5,0,0,,0.3,6.8,2,1,0
1,2019-04-08 17:40:14,2019-04-08 18:16:23,N,1,255,88,1,4.40,24,3.75,0.5,5.7,0,,0.3,34.25,1,1,2.75
1,2019-04-12 11:45:15,2019-04-12 11:54:53,N,1,43,24,1,1.70,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
2,2019-04-19 17:09:41,2019-04-19 17:18:25,N,1,260,226,1,1.87,8,1,0.5,2,0,,0.3,11.8,1,1,0
2,2019-04-09 15:32:50,2019-04-09 15:39:24,N,1,52,40,2,1.29,6.5,0,0.5,0,0,,0.3,7.3,1,1,0
