VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-06-07 11:53:58,2020-06-07 11:58:53,1,.90,1,N,164,107,2,5.5,2.5,0.5,0,0,0.3,8.8,2.5
2,2020-06-09 14:30:02,2020-06-09 14:36:32,1,1.34,1,N,262,75,1,7,0,0.5,2.06,0,0.3,12.36,2.5
2,2020-06-04 18:52:40,2020-06-04 18:57:36,1,1.34,1,N,229,137,2,6,1,0.5,0,0,0.3,10.3,2.5
,2020-06-02 08:36:56,2020-06-02 08:56:09,,3.79,,,25,71,,17.03,0,0.5,0,0,0.3,17.83,0
2,2020-06-15 11:33:00,2020-06-15 11:38:51,6,.87,1,N,263,75,1,5.5,0,0.5,1.76,0,0.3,10.56,2.5
2,2020-06-22 19:41:43,2020-06-22 19:49:14,1,1.36,1,N,162,137,1,7.5,1,0.5,2.36,0,0.3,14.16,2.5
1,2020-06-17 07:40:49,2020-06-17 07:44:46,1,.80,1,N,141,236,1,5,2.5,0.5,1.65,0,0.3,9.95,2.5
2,2020-06-30 15:06:45,2020-06-30 15:11:36,6,.90,1,N,166,166,2,5.5,0,0.5,0,0,0.3,6.3,0
1,2020-06-04 13:33:17,2020-06-04 13:38:31,1,.80,1,N,141,237,1,5.5,2.5,0.5,0.88,0,0.3,9.68,2.5
2,2020-06-25 06:56:31,2020-06-25 07:01:52,1,.84,1,N,162,162,1,5.5,0,0.5,1.76,0,0.3,10.56,2.5
2,2020-06-28 18:58:04,2020-06-28 19:00:27,2,.29,1,N,137,137,2,3.5,0,0.5,0,0,0.3,6.8,2.5
2,2020-06-24 13:24:16,2020-06-24 13:38:52,1,3.83,1,N,90,43,1,14.5,0,0.5,3.56,0,0.3,21.36,2.5
2,2020-06-28 11:39:02,2020-06-28 11:55:33,1,4.50,1,N,146,198,1,16,0,0.5,3.36,0,0.3,20.16,0
